,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2019/12,307870,상상인이안1호스팩 *,109,창업투자,0,0,0,1,1,1,0,99,9,89,89,,5,1,1,0,,,9,,,1.05,0.96,10.32,1780.60,20,102.46,1881,1.07,,,,4750000
,329560,상상인이안제2호스팩 *,109,창업투자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,329560,상상인이안제2호스팩 *,109,창업투자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,329560,상상인이안제2호스팩 *,109,창업투자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12,329560,상상인이안제2호스팩 *,109,창업투자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12,329560,상상인이안제2호스팩 *,109,창업투자,0,-2,-2,-1,-1,-1,0,79,8,71,71,,4,-2,-76,80,,,8,,,,,11.77,1733.52,-66,N/A,1834,1.09,,,,3850000
2015/12,101000,상상인인더스트리 *,215,조선,1224,73,73,56,57,52,5,1114,756,358,345,13,64,55,-53,11,40,15,608,5.94,4.67,16.14,5.08,211.23,456.62,3562,1.30,23596,0.20,260,5.62,7.22,1471942
2016/12,101000,상상인인더스트리 *,215,조선,1284,151,151,118,95,91,3,1321,872,449,449,,128,155,-214,8,168,-14,678,11.76,7.39,23.04,7.79,194.40,250.19,6213,0.79,30479,0.16,347,7.09,5.58,1471942
2017/12,101000,상상인인더스트리 *,215,조선,957,-44,-44,-110,-110,-98,-12,1683,1109,574,579,-5,181,135,-399,284,362,-226,817,-4.59,-11.52,-19.13,-7.34,193.16,219.39,-5465,N/A,27784,0.21,0,0.00,0.00,2083588
2018/12,101000,상상인인더스트리 *,215,조선,658,-180,-180,-1214,-1230,-1230,,697,410,287,287,,194,-51,-319,322,,-51,155,-27.38,-186.82,-269.79,-108.46,142.65,47.99,-43520,N/A,740,4.49,0,0.00,0.00,38833837
2019/12,101000,상상인인더스트리 *,215,조선,329,-10,-10,-115,-116,-116,,478,232,247,247,,309,-128,165,-38,52,-180,80,-3.00,-35.25,,,93.93,-20.09,-281,N/A,400,3.85,0,0.00,0.00,61732866
2015/12,001290,상상인증권 ,12,증권,898,7,7,45,31,32,-1,7029,5584,1445,1428,17,650,-442,-5,500,2,,692,0.75,3.47,2.27,0.41,386.43,127.45,51,17.22,2316,0.38,0,0.00,0.00,63737067
2016/12,001290,상상인증권 ,12,증권,636,-41,-41,-46,-43,-42,-1,5598,4097,1501,1415,86,650,85,48,-109,2,,1274,-6.38,-6.78,-2.97,-0.67,273.00,136.04,-66,N/A,2295,0.32,0,0.00,0.00,63737067
2017/12,001290,상상인증권 ,12,증권,454,-97,-97,-49,-44,-46,2,8565,7162,1402,1387,15,650,-1133,92,1289,3,,1247,-21.27,-9.74,-3.28,-0.65,510.75,120.89,-78,N/A,2853,0.40,0,0.00,0.00,50693589
2018/12,001290,상상인증권 ,12,증권,343,-114,-114,-108,-94,-99,5,4998,3923,1075,986,90,520,1491,7,-1705,,,1092,-33.36,-27.40,-8.32,-1.46,364.78,113.46,-195,N/A,2027,0.90,0,0.00,0.00,50693589
2019/12,001290,상상인증권 ,12,증권,342,-54,-54,-47,-80,-81,0,4714,3184,1530,1525,5,974,149,-41,-283,28,,1189,-15.81,-23.50,-6.42,-1.66,208.12,60.61,-93,N/A,1622,0.82,,,0.00,96108437
2015/12,041650,상신브레이크 ,36,자동차부품,3630,360,360,346,274,262,12,3344,1950,1393,1354,40,107,387,-378,27,372,15,1279,9.91,7.54,21.30,8.62,139.98,1268.55,1220,6.04,6993,1.05,170,2.31,12.56,21471450
2016/12,041650,상신브레이크 ,36,자동차부품,3796,309,309,280,202,195,7,3531,1973,1558,1514,44,107,324,-151,-131,145,179,1185,8.14,5.32,13.56,5.87,126.61,1429.48,906,7.49,7822,0.87,160,2.36,15.92,21471450
2017/12,041650,상신브레이크 ,36,자동차부품,3845,359,359,312,241,230,11,3980,2266,1714,1663,52,107,298,-499,374,406,-108,1516,9.35,6.28,14.50,6.43,132.16,1611.30,1073,7.08,8587,0.89,170,2.24,14.29,21471450
2018/12,041650,상신브레이크 ,36,자동차부품,3787,207,207,154,99,82,17,4293,2558,1735,1678,,107,170,-309,201,180,-10,1752,5.47,2.62,4.91,2.40,147.48,1621.32,382,11.06,8669,0.49,100,2.37,23.63,21471450
2019/12,041650,상신브레이크 ,36,자동차부품,3919,157,157,128,55,41,14,4523,2754,1769,1701,,107,74,14,51,203,-129,1916,4.00,1.40,2.40,1.25,155.68,1617.39,189,18.58,8788,0.40,100,2.85,47.72,21471450
2015/12,091580,상신이디피 *,207,핸드셋,778,-11,-11,-27,-24,-24,,994,607,387,387,,56,10,-140,88,115,-105,501,-1.39,-3.06,-5.85,-2.46,156.66,605.51,-205,N/A,3330,1.32,49,1.10,-23.73,11628270
2016/12,091580,상신이디피 *,207,핸드셋,768,-4,-4,-13,-10,-10,,1009,642,367,367,,56,52,-138,55,157,-105,560,-0.51,-1.33,-2.71,-1.02,174.60,577.37,-88,N/A,3160,1.22,49,1.26,-55.13,11628270
2017/12,091580,상신이디피 *,207,핸드셋,998,61,61,24,24,24,,1033,652,382,382,,56,131,-57,-50,133,-1,516,6.14,2.44,6.52,2.39,170.76,610.58,210,36.33,3281,2.32,49,0.64,23.14,11628270
2018/12,091580,상신이디피 *,207,핸드셋,1501,157,157,130,84,84,,1427,853,574,574,,63,252,-312,186,306,-54,596,10.47,5.59,17.57,6.83,148.53,834.99,692,18.14,4533,2.77,70,0.56,10.56,12665050
2019/12,091580,상신이디피 *,207,핸드셋,1412,85,85,57,48,48,,1481,860,621,621,,63,55,-132,122,153,-98,685,6.04,3.41,8.06,3.31,138.38,897.05,380,21.69,4905,1.68,50,0.61,13.15,12665050
2015/12,263810,상신전자 *,197,전자장비와기기,670,53,53,46,32,32,,374,214,160,160,,3,55,-9,-32,4,51,58,7.96,4.84,,,133.80,4822.98,289,,1424,0.00,165,,57.22,11231049
2016/12,263810,상신전자 *,197,전자장비와기기,721,66,66,58,52,52,,408,228,180,180,,3,-12,-10,34,4,-16,125,9.22,7.23,30.64,13.33,126.57,5469.38,464,,1605,0.00,226,,48.75,11231049
2017/12,263810,상신전자 *,197,전자장비와기기,850,61,61,55,46,46,,535,226,309,309,,20,37,-41,29,11,27,75,7.21,5.46,18.94,9.83,73.04,1474.03,390,15.40,2247,2.67,148,2.47,43.99,13761544
2018/12,263810,상신전자 *,197,전자장비와기기,830,30,30,26,20,20,,526,202,324,324,,41,-44,8,-4,21,-64,71,3.59,2.37,6.21,3.71,62.19,697.75,142,27.33,2275,1.70,48,1.25,35.11,14244718
2019/12,263810,상신전자 *,197,전자장비와기기,820,30,30,28,25,25,,521,176,345,345,,71,10,15,-11,12,-2,80,3.62,3.05,7.48,4.78,50.94,383.40,176,20.89,2424,1.51,,,0.00,14244718
2015/12,089980,상아프론테크 *,221,전기제품,1437,101,101,102,79,79,,1808,882,926,926,,65,92,-200,135,240,-149,634,7.00,5.47,8.88,4.68,95.26,1343.68,623,19.89,7273,1.70,140,1.13,22.68,12927360
2016/12,089980,상아프론테크 *,221,전기제품,1563,91,91,90,55,55,,2020,1036,984,984,,67,28,-192,126,171,-143,777,5.82,3.50,5.72,2.86,105.26,1393.54,415,21.76,7471,1.21,140,1.55,33.73,13301489
2017/12,089980,상아프론테크 *,221,전기제품,1532,108,108,95,75,75,,2199,1104,1095,1095,,71,252,-186,52,146,106,794,7.05,4.87,7.18,3.54,100.87,1454.60,544,26.27,7746,1.85,140,0.98,26.50,14263536
2018/12,089980,상아프론테크 *,221,전기제품,1821,141,141,157,121,121,,2391,1198,1192,1192,,71,75,-135,36,107,-32,873,7.77,6.63,10.55,5.26,100.52,1588.06,846,15.61,8435,1.56,160,1.21,18.75,14263536
2019/12,089980,상아프론테크 *,221,전기제품,1862,149,149,142,125,125,,2483,1045,1438,1438,,77,35,-85,-20,102,-67,764,8.00,6.69,9.47,5.11,72.68,1789.96,834,18.28,9472,1.61,160,1.05,19.51,15311968
