,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2019/12,060310,3S *,138,기계,52,5,5,3,3,3,,523,171,352,352,,224,-12,-5,-2,8,-20,118,9.86,6.51,7.97,4.94,48.67,58.20,8,46.98,786,3.59,0,,,44772143
2020/03,060310,3S *,138,기계,50,-7,-7,-19,-19,-19,,497,163,334,334,,224,-8,-5,-2,3,-11,122,-14.42,-38.49,-3.19,-2.10,48.83,49.79,-43,N/A,745,2.51,,,,44802511
2020/06,060310,3S *,138,기계,43,-4,-4,-5,-5,-5,,488,160,329,329,,224,-1,-4,-1,2,-3,121,-8.21,-10.96,-6.88,-4.61,48.53,47.70,-10,N/A,734,3.30,,,0.00,44802511
2020/09,060310,3S *,138,기계,67,-5,-5,-7,-7,-7,,505,184,322,322,,224,-15,-10,-1,8,-23,121,-6.77,-10.65,-8.26,-5.42,57.04,44.51,-16,N/A,718,2.95,,,0.00,44802511
2020/12,060310,3S *,138,기계,88,1,1,2,2,2,,522,198,324,324,,224,14,-23,11,27,-13,132,1.57,2.22,-8.62,-5.57,61.25,45.38,4,N/A,722,3.00,,,,44802511
2019/09,095570,AJ네트웍스 ,220,도로와철도운송,3122,96,96,35,28,34,-5,18057,13978,4079,3832,,468,194,-1424,451,291,-97,12008,3.08,0.91,28.55,5.77,342.68,766.73,72,2.07,8185,0.53,0,,0.00,46822295
2019/12,095570,AJ네트웍스 ,220,도로와철도운송,3162,-97,-97,-656,-585,-537,-47,18033,14559,3473,3185,,468,-191,-416,523,289,-480,12517,-3.05,-18.48,15.18,1.92,419.16,639.52,-1148,5.06,6802,0.73,300,6.04,-26.14,46822295
2020/03,095570,AJ네트웍스 ,220,도로와철도운송,3167,120,120,42,20,12,9,17682,14347,3335,3045,290,468,-175,505,-206,51,-226,12485,3.78,0.64,-22.25,-4.84,430.17,612.00,25,N/A,6659,0.44,0,,0.00,46822295
2020/06,095570,AJ네트웍스 ,220,도로와철도운송,3064,87,87,59,29,35,-5,17784,14428,3356,3065,291,468,-92,-13,311,187,-280,13716,2.83,0.96,-13.36,-2.88,429.94,619.38,74,N/A,6702,0.43,0,,0.00,46822295
2020/09,095570,AJ네트웍스 ,220,도로와철도운송,3128,126,126,-59,-75,-85,10,17282,14038,3244,2946,298,468,23,551,-534,122,-100,12604,4.04,-2.39,-17.00,-3.45,432.74,601.24,-181,N/A,6446,0.50,0,,0.00,46822295
2019/09,006840,AK홀딩스 ,140,화학,9728,269,269,-8,29,1,27,42622,27893,14729,8492,,662,456,478,-434,297,159,16688,2.77,0.30,6.17,2.51,189.37,1178.94,10,7.99,65095,0.48,0,,0.00,13247561
2019/12,006840,AK홀딩스 ,140,화학,8991,-31,-31,-46,-182,-131,-51,43280,28980,14299,8273,,662,299,712,-802,209,90,16959,-0.34,-2.02,3.38,1.49,202.67,1149.46,-987,16.21,63415,0.55,750,,-74.81,13247561
2020/03,006840,AK홀딩스 ,140,화학,7939,-346,-346,-876,-842,-489,-353,41665,28571,13095,7717,5377,662,-2252,444,909,338,-2590,18392,-4.36,-10.60,-7.07,-2.28,218.19,1064.42,-3691,N/A,59158,0.30,0,,0.00,13247561
2020/06,006840,AK홀딩스 ,140,화학,5376,-694,-694,-1032,-1031,-594,-436,41396,29335,12061,7122,4939,662,451,-13,136,291,160,19329,-12.90,-19.17,-15.32,-4.82,243.22,974.63,-4486,N/A,54593,0.34,0,,0.00,13247561
2020/09,006840,AK홀딩스 ,140,화학,6448,-319,-319,-425,-529,-315,-214,41194,28886,12308,6893,5415,662,-122,452,315,381,-503,18839,-4.94,-8.21,-19.88,-6.17,234.70,940.96,-2380,N/A,52837,0.33,0,,0.00,13247561
2019/09,054620,APS홀딩스 *,199,디스플레이장비및부품,57,-31,-31,-12,-12,-8,-3,2839,555,2284,2279,,109,-16,86,39,37,-53,409,-54.37,-20.73,-5.16,-4.52,24.31,8397.42,-39,N/A,11936,0.85,,,0.00,20394221
2019/12,054620,APS홀딩스 *,199,디스플레이장비및부품,75,-21,-21,49,15,21,-5,2977,829,2148,2148,,109,-24,-203,96,24,-48,655,-28.80,20.47,-1.22,-1.58,38.61,8290.47,100,N/A,11675,0.87,,,,20394221
2020/03,054620,APS홀딩스 *,199,디스플레이장비및부품,52,-24,-24,-6,-6,-4,-2,2962,820,2142,2144,-2,109,0,31,-2,31,-31,655,-45.01,-11.45,-0.26,-0.71,38.29,8286.51,-20,N/A,11654,0.55,,,0.00,20394221
2020/06,054620,APS홀딩스 *,199,디스플레이장비및부품,61,-29,-29,-64,-55,-53,-2,2963,890,2073,2080,-7,109,-25,45,78,109,-134,733,-47.48,-90.77,-2.04,-1.98,42.94,8237.50,-258,N/A,11309,0.78,,,0.00,20394221
2020/09,054620,APS홀딩스 *,199,디스플레이장비및부품,55,-34,-34,54,54,54,-1,3135,1008,2127,2134,-8,109,-7,-80,107,39,-46,842,-62.05,96.52,0.81,0.26,47.41,8286.85,266,97.86,11603,0.74,,,0.00,20394221
2019/09,265520,AP시스템 *,199,디스플레이장비및부품,656,31,31,16,14,14,,4203,3077,1125,1125,,76,-454,-13,240,3,-457,1704,4.80,2.13,6.81,1.73,273.42,1404.95,91,59.19,7419,3.90,0,,0.00,14480227
2019/12,265520,AP시스템 *,199,디스플레이장비및부품,1645,112,112,25,20,20,,4210,3068,1141,1141,,76,434,4,-278,5,429,1411,6.81,1.23,8.57,2.25,268.87,1426.44,132,54.33,7523,4.47,50,,54.53,14480227
2020/03,265520,AP시스템 *,199,디스플레이장비및부품,1211,79,79,108,82,82,,4548,3331,1217,1217,,76,85,15,-21,8,78,1412,6.56,6.78,15.23,4.03,273.64,1524.51,537,21.70,8023,3.05,,,0.00,14480227
2020/06,265520,AP시스템 *,199,디스플레이장비및부품,1285,88,88,61,47,47,,4321,3057,1264,1264,,76,-18,-14,-67,4,-22,1331,6.86,3.63,13.76,3.95,241.95,1585.53,305,21.86,8329,2.80,,,0.00,14480227
2020/09,265520,AP시스템 *,199,디스플레이장비및부품,1636,171,171,147,114,114,,4230,2853,1378,1378,,76,426,-11,-9,1,425,1313,10.43,6.98,21.03,6.24,207.09,1735.09,748,12.80,9080,2.43,,,0.00,14480227
2019/09,211270,AP위성 *,207,핸드셋,54,-1,-1,7,6,6,,1032,202,830,830,,75,65,-42,1,39,26,1,-1.40,10.18,0.02,0.02,24.37,1115.24,37,6354.29,5897,1.15,0,,0.00,15014804
2019/12,211270,AP위성 *,207,핸드셋,224,69,69,6,-8,-8,,1026,204,823,823,,75,-7,2,-1,1,-8,2,31.05,-3.76,0.87,0.71,24.78,1104.48,-56,147.89,5840,1.20,70,1.04,-117.21,15014804
2020/03,211270,AP위성 *,207,핸드셋,73,0,0,14,11,11,,1070,245,825,825,,75,0,-1,1,0,0,2,0.15,15.37,1.51,1.23,29.73,1106.86,74,67.70,5852,0.96,0,,0.00,15014804
2020/06,211270,AP위성 *,207,핸드셋,110,2,2,0,0,0,,1048,225,823,823,,75,32,-3,-10,0,32,2,2.03,0.02,1.00,0.82,27.30,1103.94,0,148.18,5837,1.40,0,,0.00,15014804
2020/09,211270,AP위성 *,207,핸드셋,75,1,1,0,0,0,,1190,368,822,822,,75,80,-2,0,0,80,3,1.36,-0.64,0.28,0.21,44.70,1102.96,-3,470.85,5832,1.23,0,,0.00,15014804
2019/09,027410,BGF ,198,백화점과일반상점,628,91,91,104,86,108,-22,16657,1179,15478,15171,,957,-24,-8,-46,11,-35,305,14.43,13.62,2.08,1.59,7.62,1515.35,112,18.17,15851,0.38,0,,0.00,95716791
2019/12,027410,BGF ,198,백화점과일반상점,615,100,100,8,-53,-3,-50,16574,1291,15283,15026,,957,22,-136,-52,16,5,502,16.27,-8.62,1.79,1.07,8.45,1495.87,-3,19.91,15700,0.36,110,,-3159.78,95716791
2020/03,027410,BGF ,198,백화점과일반상점,471,-23,-23,-41,-42,-22,-19,16400,1368,15032,14795,237,957,12,-57,-23,30,-18,274,-4.97,-8.89,1.41,0.69,9.10,1482.42,-23,16.72,15458,0.24,0,,0.00,95716791
2020/06,027410,BGF ,198,백화점과일반상점,556,55,55,109,87,106,-19,16518,1255,15263,14941,322,957,185,76,-53,10,174,474,9.88,15.72,1.25,0.47,8.22,1493.49,111,21.59,15611,0.27,0,,0.00,95716791
2020/09,027410,BGF ,198,백화점과일반상점,492,116,116,147,150,174,-24,16625,1232,15393,15095,298,957,26,-325,121,138,-112,343,23.47,30.42,1.68,0.86,8.00,1511.62,182,15.36,15772,0.26,0,,0.00,95716791
2019/09,282330,BGF리테일 ,198,백화점과일반상점,15827,648,648,655,502,502,,21431,15511,5919,5919,,173,1353,-669,-478,429,925,45,4.09,3.17,27.89,8.26,262.05,3195.07,2903,22.58,34265,5.75,0,,0.00,17283906
2019/12,282330,BGF리테일 ,198,백화점과일반상점,14970,445,445,453,343,343,,21724,15498,6226,6226,,173,1428,-1126,-420,535,894,5555,2.97,2.29,26.46,8.28,248.93,3372.48,1984,19.35,36040,4.70,2700,,135.99,17283906
2020/03,282330,BGF리테일 ,198,백화점과일반상점,13931,185,185,177,120,120,,21789,15912,5877,5877,,173,480,-28,-524,264,216,133,1.33,0.86,26.29,6.73,270.74,3170.63,695,16.02,34021,3.88,0,,0.00,17283906
2020/06,282330,BGF리테일 ,198,백화점과일반상점,15492,446,446,442,330,330,,22470,16263,6207,6207,,173,1853,-946,-913,497,1356,181,2.88,2.13,22.28,5.98,261.99,3361.75,1912,18.55,35933,3.87,0,,0.00,17283906
2020/09,282330,BGF리테일 ,198,백화점과일반상점,16827,636,636,675,515,515,,24476,17754,6722,6722,,173,1532,-1009,-514,485,1047,256,3.78,3.06,20.70,5.70,264.14,3659.28,2980,16.31,38910,3.17,0,,0.00,17283906
2019/09,138930,BNK금융지주 ,20,은행,11845,2441,2441,2439,1888,1780,108,1048838,957336,91503,82528,,16297,6389,-2994,-1646,293,,135117,20.61,15.94,6.18,0.52,1046.24,461.49,546,4.76,25322,0.28,0,,0.00,325935246
2019/12,138930,BNK금융지주 ,20,은행,17189,681,681,558,385,330,55,1045388,953576,91812,82837,,16297,-4579,-347,3508,326,,138285,3.96,2.24,7.07,0.59,1038.62,463.39,101,4.44,25416,0.30,360,,355.59,325935246
2020/03,138930,BNK금융지주 ,20,은행,11846,2060,2060,1950,1485,1377,108,1062063,968695,93368,84393,8975,16297,-4165,-4997,8900,166,,145768,17.39,12.53,6.44,0.54,1037.50,473.37,422,2.77,26014,0.17,0,,0.00,325935246
2020/06,138930,BNK금융지주 ,20,은행,11742,2354,2354,2434,1840,1732,108,1115116,1020065,95050,86076,8975,16297,-8525,-2735,14575,144,,157837,20.04,15.67,6.30,0.52,1073.18,483.68,531,3.12,26531,0.19,0,,0.00,325935246
2020/09,138930,BNK금융지주 ,20,은행,11215,1914,1914,1910,1474,1365,108,1109884,1014055,95830,86855,8975,16297,3569,-1731,-5820,221,,155802,17.07,13.14,5.67,0.48,1058.19,488.46,419,3.43,26771,0.19,0,,0.00,325935246
2019/09,001460,BYC ,134,"섬유,의류,신발,호화품",418,61,61,204,123,123,0,7256,2982,4274,4275,,42,-169,823,-210,1,-169,1776,14.70,29.48,3.59,2.05,69.75,10117.75,14666,13.38,512181,0.47,0,,0.00,624615
2019/12,001460,BYC ,134,"섬유,의류,신발,호화품",491,59,59,97,68,68,0,6939,2596,4343,4343,,42,170,-453,-188,3,167,1378,12.08,13.81,6.60,3.88,59.76,10280.96,8077,7.15,520430,0.45,1100,,13.69,624615
2020/03,001460,BYC ,134,"섬유,의류,신발,호화품",334,23,23,7,1,1,0,6878,2541,4337,4338,0,42,-6,210,-7,1,-7,1372,6.77,0.24,6.03,3.60,58.58,10260.73,130,6.28,519728,0.37,,,0.00,624615
2020/06,001460,BYC ,134,"섬유,의류,신발,호화품",470,85,85,108,86,86,0,7061,2641,4421,4421,0,42,134,25,92,0,134,1475,18.04,18.30,6.48,3.89,59.74,10465.37,10197,6.27,529707,0.39,,,0.00,624615
2020/09,001460,BYC ,134,"섬유,의류,신발,호화품",368,58,58,47,23,23,0,7059,2617,4442,4443,0,42,62,-51,-52,1,61,1421,15.87,6.23,4.08,2.48,58.90,10520.20,2752,10.66,532318,0.42,,,0.00,624615
2019/09,001465,BYC우 ,134,"섬유,의류,신발,호화품",418,61,61,204,123,123,0,7256,2982,4274,4275,,42,-169,823,-210,1,-169,1776,14.70,29.48,3.59,2.05,69.75,10117.75,14666,13.38,512181,0.47,0,,0.00,624615
2019/12,001465,BYC우 ,134,"섬유,의류,신발,호화품",491,59,59,97,68,68,0,6939,2596,4343,4343,,42,170,-453,-188,3,167,1378,12.08,13.81,6.60,3.88,59.76,10280.96,8077,7.15,520430,0.45,1100,,13.69,624615
2020/03,001465,BYC우 ,134,"섬유,의류,신발,호화품",334,23,23,7,1,1,0,6878,2541,4337,4338,0,42,-6,210,-7,1,-7,1372,6.77,0.24,6.03,3.60,58.58,10260.73,130,6.28,519728,0.37,,,0.00,624615
2020/06,001465,BYC우 ,134,"섬유,의류,신발,호화품",470,85,85,108,86,86,0,7061,2641,4421,4421,0,42,134,25,92,0,134,1475,18.04,18.30,6.48,3.89,59.74,10465.37,10197,6.27,529707,0.39,,,0.00,624615
2020/09,001465,BYC우 ,134,"섬유,의류,신발,호화품",368,58,58,47,23,23,0,7059,2617,4442,4443,0,42,62,-51,-52,1,61,1421,15.87,6.23,4.08,2.48,58.90,10520.20,2752,10.66,532318,0.42,,,0.00,624615
2019/09,001040,CJ ,191,복합기업,86797,4268,4268,1675,734,320,414,414534,268155,146379,44425,,1790,9085,-7525,-1660,6290,2795,186253,4.92,0.85,2.63,0.47,183.19,2550.42,898,25.59,137155,0.60,0,,0.00,29176998
2019/12,001040,CJ ,191,복합기업,88513,3739,3739,-1038,-1542,-284,-1259,403814,257663,146151,45096,,1790,16843,-8385,-6935,4168,12675,169744,4.22,-1.74,6.24,0.90,176.30,2527.96,-795,12.90,134491,0.72,1850,,-219.19,29176998
2020/03,001040,CJ ,191,복합기업,78400,2643,2643,5247,3633,1524,2109,412164,261562,150602,46585,104017,1790,-441,-6424,9177,2980,-3421,176837,3.37,4.63,8.48,1.42,173.68,2578.26,4273,6.20,138931,0.46,0,,0.00,29176998
2020/06,001040,CJ ,191,복합기업,77940,3588,3588,1694,552,275,277,413160,260910,152250,47386,104864,1790,9902,-4038,-1228,2407,7495,177680,4.60,0.71,4.03,0.82,171.37,2606.13,770,16.77,141320,0.61,0,,0.00,29176998
2020/09,001040,CJ ,191,복합기업,82244,4291,4291,2244,1419,632,786,408465,254798,153668,47816,105851,1790,9198,1392,-8407,2868,6330,169466,5.22,1.73,4.66,0.99,165.81,2672.74,1773,13.49,142604,0.57,0,,0.00,29176998
2019/09,079160,CJ CGV ,204,방송과엔터테인먼트,4975,310,310,-32,-71,18,-89,43794,38471,5322,2487,,106,738,-546,252,429,308,10324,6.23,-1.43,-58.06,-5.87,722.81,2359.22,75,N/A,10360,2.92,0,,0.00,24008940
2019/12,079160,CJ CGV ,204,방송과엔터테인먼트,4983,440,440,-2077,-2135,-1387,-748,45240,39229,6011,2704,,106,591,-575,1027,651,-60,30555,8.84,-42.86,-57.60,-7.07,652.62,994.32,-5777,N/A,11261,2.78,0,,0.00,24008940
2020/03,079160,CJ CGV ,204,방송과엔터테인먼트,2433,-716,-716,-1205,-1186,-955,-230,44569,39851,4718,1645,3072,106,-750,-353,901,375,-1126,32530,-29.44,-48.73,-174.13,-8.04,844.71,76.60,-3978,N/A,6853,2.34,0,,0.00,24008940
2020/06,079160,CJ CGV ,204,방송과엔터테인먼트,416,-1305,-1305,-1774,-1749,-1432,-317,42824,39877,2947,174,2773,106,-881,-190,703,109,-990,32712,-313.83,-420.49,-644.35,-12.05,1352.96,-1298.73,-5963,N/A,726,28.18,,,0.00,24008940
2020/09,079160,CJ CGV ,204,방송과엔터테인먼트,1552,-968,-968,-1364,-1315,-1004,-312,43486,39916,3569,1377,2192,176,-456,49,1823,253,-708,32464,-62.38,-84.76,-247.25,-14.63,1118.31,-153.69,-3246,N/A,3923,5.72,,,0.00,35100000
2019/09,035760,CJ ENM *,204,방송과엔터테인먼트,11531,641,641,515,309,290,19,73859,37875,35985,29241,,1106,2135,-2329,-912,896,1240,21103,5.56,2.68,6.06,2.61,105.25,3094.87,1322,21.59,148931,1.14,0,,0.00,21929154
2019/12,035760,CJ ENM *,204,방송과엔터테인먼트,2714,164,164,-427,-871,-305,-566,54349,22830,31519,29465,,1106,1303,4039,-6078,1055,247,8243,6.03,-32.09,3.65,0.96,72.43,3142.72,-1390,33.57,150071,1.06,1400,,-90.20,21929154
2020/03,035760,CJ ENM *,204,방송과엔터테인먼트,8108,397,397,391,302,269,33,56617,24853,31763,29536,,1106,561,-2826,3573,174,388,11868,4.90,3.72,3.07,0.63,78.25,3142.04,1226,25.76,150433,0.69,0,,0.00,21929154
2020/06,035760,CJ ENM *,204,방송과엔터테인먼트,8375,734,734,511,395,339,56,59780,25854,33926,31269,2656,1106,1391,-4718,3407,216,1175,13874,8.76,4.71,1.97,0.20,76.21,3242.13,1547,40.78,159261,0.69,0,,0.00,21929154
2020/09,035760,CJ ENM *,204,방송과엔터테인먼트,7986,710,710,517,326,286,39,58700,24420,34281,31588,2693,1106,1098,86,-2103,279,819,12027,8.90,4.08,1.94,0.23,71.23,3265.12,1305,52.94,160883,0.88,0,,0.00,21929154
2019/09,00104K,CJ4우(전환) ,191,복합기업,86797,4268,4268,1675,734,320,414,414534,268155,146379,44425,,1790,9085,-7525,-1660,6290,2795,186253,4.92,0.85,2.63,0.47,183.19,2550.42,898,25.59,137155,0.60,0,,0.00,29176998
2019/12,00104K,CJ4우(전환) ,191,복합기업,88513,3739,3739,-1038,-1542,-284,-1259,403814,257663,146151,45096,,1790,16843,-8385,-6935,4168,12675,169744,4.22,-1.74,6.24,0.90,176.30,2527.96,-795,12.90,134491,0.72,1850,,-219.19,29176998
2020/03,00104K,CJ4우(전환) ,191,복합기업,78400,2643,2643,5247,3633,1524,2109,412164,261562,150602,46585,104017,1790,-441,-6424,9177,2980,-3421,176837,3.37,4.63,8.48,1.42,173.68,2578.26,4273,6.20,138931,0.46,0,,0.00,29176998
2020/06,00104K,CJ4우(전환) ,191,복합기업,77940,3588,3588,1694,552,275,277,413160,260910,152250,47386,104864,1790,9902,-4038,-1228,2407,7495,177680,4.60,0.71,4.03,0.82,171.37,2606.13,770,16.77,141320,0.61,0,,0.00,29176998
2020/09,00104K,CJ4우(전환) ,191,복합기업,82244,4291,4291,2244,1419,632,786,408465,254798,153668,47816,105851,1790,9198,1392,-8407,2868,6330,169466,5.22,1.73,4.66,0.99,165.81,2672.74,1773,13.49,142604,0.57,0,,0.00,29176998
2019/09,000120,CJ대한통운 ,234,항공화물운송과물류,26218,887,887,360,130,60,70,91667,56277,35390,30197,,1141,1228,-1062,-38,1318,-90,37540,3.38,0.50,0.72,0.45,159.02,2496.13,265,165.83,166325,0.87,,,0.00,22812344
2019/12,000120,CJ대한통운 ,234,항공화물운송과물류,28257,1013,1013,483,328,351,-24,91100,54548,36552,29918,,1141,5700,-61,-5157,735,4966,31120,3.59,1.16,1.41,0.60,149.23,2489.33,1541,89.01,164787,0.94,,,0.00,22812344
2020/03,000120,CJ대한통운 ,234,항공화물운송과물류,25154,582,582,173,114,158,-44,94310,57297,37014,30302,6712,1141,-1599,-1605,4919,963,-2561,36594,2.31,0.45,2.34,0.82,154.80,2498.89,691,44.00,166903,0.81,,,0.00,22812344
2020/06,000120,CJ대한통운 ,234,항공화물운송과물류,26500,839,839,502,362,334,28,94240,57097,37142,30558,6584,1141,2007,-537,-1101,654,1354,36654,3.16,1.37,2.98,1.01,153.73,2534.74,1466,39.75,168315,0.94,,,0.00,22812344
2020/09,000120,CJ대한통운 ,234,항공화물운송과물류,27745,925,925,679,475,422,53,96569,58555,38014,30909,7106,1141,4258,-1095,-2598,702,3556,34525,3.34,1.71,4.14,1.36,154.03,2567.82,1850,32.00,170246,1.04,,,0.00,22812344
2019/09,011150,CJ씨푸드 ,38,식품,377,6,6,5,3,3,,1207,572,635,635,,181,75,-48,-26,51,24,324,1.55,0.87,2.81,1.47,90.02,250.03,9,63.87,1758,1.76,,,0.00,35930773
2019/12,011150,CJ씨푸드 ,38,식품,392,23,23,19,13,13,,1273,630,644,644,,181,-41,0,34,15,-56,357,5.83,3.26,2.90,1.44,97.89,256.12,35,53.27,1781,1.51,,,,35930773
2020/03,011150,CJ씨푸드 ,38,식품,384,17,17,12,10,10,,1265,615,650,650,,181,21,-13,-4,14,7,362,4.33,2.63,5.16,2.55,94.61,261.69,28,33.91,1799,1.71,,,,35930773
2020/06,011150,CJ씨푸드 ,38,식품,331,6,6,8,5,5,,1223,564,659,659,,181,42,-5,-40,5,37,320,1.90,1.58,4.87,2.53,85.54,264.59,14,44.07,1825,2.10,,,0.00,35930773
2020/09,011150,CJ씨푸드 ,38,식품,386,13,13,12,8,8,,1179,515,664,664,,181,93,-10,-82,11,82,318,3.30,1.97,5.49,2.99,77.62,268.79,21,45.18,1837,2.43,,,0.00,35930773
2019/09,011155,CJ씨푸드1우 ,38,식품,377,6,6,5,3,3,,1207,572,635,635,,181,75,-48,-26,51,24,324,1.55,0.87,2.81,1.47,90.02,250.03,9,63.87,1758,1.76,,,0.00,35930773
2019/12,011155,CJ씨푸드1우 ,38,식품,392,23,23,19,13,13,,1273,630,644,644,,181,-41,0,34,15,-56,357,5.83,3.26,2.90,1.44,97.89,256.12,35,53.27,1781,1.51,,,,35930773
2020/03,011155,CJ씨푸드1우 ,38,식품,384,17,17,12,10,10,,1265,615,650,650,,181,21,-13,-4,14,7,362,4.33,2.63,5.16,2.55,94.61,261.69,28,33.91,1799,1.71,,,,35930773
2020/06,011155,CJ씨푸드1우 ,38,식품,331,6,6,8,5,5,,1223,564,659,659,,181,42,-5,-40,5,37,320,1.90,1.58,4.87,2.53,85.54,264.59,14,44.07,1825,2.10,,,0.00,35930773
2020/09,011155,CJ씨푸드1우 ,38,식품,386,13,13,12,8,8,,1179,515,664,664,,181,93,-10,-82,11,82,318,3.30,1.97,5.49,2.99,77.62,268.79,21,45.18,1837,2.43,,,0.00,35930773
2019/09,001045,CJ우 ,191,복합기업,86797,4268,4268,1675,734,320,414,414534,268155,146379,44425,,1790,9085,-7525,-1660,6290,2795,186253,4.92,0.85,2.63,0.47,183.19,2550.42,898,25.59,137155,0.60,0,,0.00,29176998
2019/12,001045,CJ우 ,191,복합기업,88513,3739,3739,-1038,-1542,-284,-1259,403814,257663,146151,45096,,1790,16843,-8385,-6935,4168,12675,169744,4.22,-1.74,6.24,0.90,176.30,2527.96,-795,12.90,134491,0.72,1850,,-219.19,29176998
2020/03,001045,CJ우 ,191,복합기업,78400,2643,2643,5247,3633,1524,2109,412164,261562,150602,46585,104017,1790,-441,-6424,9177,2980,-3421,176837,3.37,4.63,8.48,1.42,173.68,2578.26,4273,6.20,138931,0.46,0,,0.00,29176998
2020/06,001045,CJ우 ,191,복합기업,77940,3588,3588,1694,552,275,277,413160,260910,152250,47386,104864,1790,9902,-4038,-1228,2407,7495,177680,4.60,0.71,4.03,0.82,171.37,2606.13,770,16.77,141320,0.61,0,,0.00,29176998
2020/09,001045,CJ우 ,191,복합기업,82244,4291,4291,2244,1419,632,786,408465,254798,153668,47816,105851,1790,9198,1392,-8407,2868,6330,169466,5.22,1.73,4.66,0.99,165.81,2672.74,1773,13.49,142604,0.57,0,,0.00,29176998
2019/09,097950,CJ제일제당 ,234,항공화물운송과물류,58581,2727,2727,684,171,19,152,255856,165200,90657,49827,,819,4686,-3649,-211,4155,531,114601,4.66,0.29,0.11,0.21,182.23,6238.50,118,737.52,310965,0.75,0,,0.00,15054186
2019/12,097950,CJ제일제당 ,234,항공화물운송과물류,59613,2698,2698,1496,935,935,0,262806,167992,94815,48809,,819,11783,-646,-9690,2589,9194,100455,4.53,1.57,3.16,0.84,177.18,6220.80,5708,27.12,304613,0.83,3500,,60.04,15054186
2020/03,097950,CJ제일제당 ,234,항공화물운송과물류,58309,2759,2759,6222,4519,4437,82,267526,166888,100638,53935,46703,819,-851,-1666,3111,2218,-3069,106892,4.73,7.75,10.86,2.35,165.83,6693.72,27086,6.37,336603,0.64,0,,0.00,15054186
2020/06,097950,CJ제일제당 ,234,항공화물운송과물류,59209,3849,3849,2562,1580,1114,466,268729,166970,101759,55039,46720,819,7016,-67,-2599,1812,5205,107728,6.50,2.67,12.54,2.77,164.08,6829.66,6802,8.21,343497,0.95,0,,0.00,15054186
2020/09,097950,CJ제일제당 ,234,항공화물운송과물류,63425,4021,4021,3028,1892,1402,490,266158,163851,102306,55451,46855,819,8245,122,-6768,2150,6095,101524,6.34,2.98,14.99,3.42,160.16,7000.74,8560,8.20,346067,1.14,0,,0.00,15054186
2019/09,097955,CJ제일제당 우 ,234,항공화물운송과물류,58581,2727,2727,684,171,19,152,255856,165200,90657,49827,,819,4686,-3649,-211,4155,531,114601,4.66,0.29,0.11,0.21,182.23,6238.50,118,737.52,310965,0.75,0,,0.00,15054186
2019/12,097955,CJ제일제당 우 ,234,항공화물운송과물류,59613,2698,2698,1496,935,935,0,262806,167992,94815,48809,,819,11783,-646,-9690,2589,9194,100455,4.53,1.57,3.16,0.84,177.18,6220.80,5708,27.12,304613,0.83,3500,,60.04,15054186
2020/03,097955,CJ제일제당 우 ,234,항공화물운송과물류,58309,2759,2759,6222,4519,4437,82,267526,166888,100638,53935,46703,819,-851,-1666,3111,2218,-3069,106892,4.73,7.75,10.86,2.35,165.83,6693.72,27086,6.37,336603,0.64,0,,0.00,15054186
2020/06,097955,CJ제일제당 우 ,234,항공화물운송과물류,59209,3849,3849,2562,1580,1114,466,268729,166970,101759,55039,46720,819,7016,-67,-2599,1812,5205,107728,6.50,2.67,12.54,2.77,164.08,6829.66,6802,8.21,343497,0.95,0,,0.00,15054186
2020/09,097955,CJ제일제당 우 ,234,항공화물운송과물류,63425,4021,4021,3028,1892,1402,490,266158,163851,102306,55451,46855,819,8245,122,-6768,2150,6095,101524,6.34,2.98,14.99,3.42,160.16,7000.74,8560,8.20,346067,1.14,0,,0.00,15054186
2019/09,051500,CJ프레시웨이 *,227,식품과기본식료품소매,7700,176,176,24,13,14,-2,11739,9187,2552,1977,,119,139,-166,-98,123,16,4558,2.29,0.16,6.43,1.29,359.95,1100.50,120,26.14,16655,1.67,0,,0.00,11871586
2019/12,051500,CJ프레시웨이 *,227,식품과기본식료품소매,7808,145,145,46,22,-13,34,11817,8925,2891,2014,,119,33,93,-134,69,-36,4595,1.86,0.28,2.59,0.91,308.69,1045.92,-108,66.06,16967,1.69,250,,-231.84,11871586
2020/03,051500,CJ프레시웨이 *,227,식품과기본식료품소매,6025,-126,-126,-234,-200,-195,-5,12406,9753,2653,1784,869,119,188,-819,844,84,104,5556,-2.09,-3.32,-6.69,-0.75,367.63,849.61,-1641,N/A,15026,1.03,,,0.00,11871586
2020/06,051500,CJ프레시웨이 *,227,식품과기본식료품소매,6245,27,27,-47,-27,-24,-3,13033,10407,2626,1761,865,119,-184,494,298,160,-344,6174,0.43,-0.43,-11.67,-1.56,396.27,830.12,-200,N/A,14835,1.03,,,0.00,11871586
