,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2020/09,181340,이즈미디어 *,207,핸드셋,36,-37,-37,-39,-70,-70,,564,327,237,237,,35,4,1,-1,,4,197,-104.08,-194.91,-53.34,-25.63,137.59,582.04,-987,N/A,3462,1.30,0,,0.00,7077100
,353810,이지바이오 *,38,식품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12,353810,이지바이오 *,38,식품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/03,353810,이지바이오 *,38,식품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,353810,이지바이오 *,38,식품,216,39,39,35,28,28,,789,525,265,265,,11,28,-1,-34,2,26,339,18.16,13.13,,,198.39,2228.51,123,,774,4.49,0,,0.00,34191720
2020/09,353810,이지바이오 *,38,식품,358,68,68,61,47,47,,837,525,312,312,,11,83,-6,-10,7,76,331,19.12,13.20,,,168.34,2642.09,138,,912,4.52,0,,0.00,34191720
,350520,이지스레지던스리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06,350520,이지스레지던스리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/09,350520,이지스레지던스리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12,350520,이지스레지던스리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/03,350520,이지스레지던스리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,300000
2020/04,334890,이지스밸류리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,300000
2020/07,334890,이지스밸류리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,24000000
2020/08,334890,이지스밸류리츠 ,229,부동산,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2020/10,334890,이지스밸류리츠 ,229,부동산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000000
2020/11,334890,이지스밸류리츠 ,229,부동산,18,17,17,17,17,17,,1548,0,1548,1548,,240,15,-30,-14,,15,0,95.64,95.92,,,0.03,544.93,,,,,,,,
2019/09,090850,이지웰 *,208,상업서비스와공급품,198,13,13,14,10,11,-1,1119,730,389,387,,55,56,1,-1,2,54,47,6.64,5.02,24.55,7.00,187.83,724.00,48,12.81,1807,2.61,0,,0.00,21982218
2019/12,090850,이지웰 *,208,상업서비스와공급품,232,20,20,3,2,2,-1,902,538,364,363,,55,-109,3,-1,3,-112,47,8.55,0.66,15.55,5.43,148.00,726.46,11,23.93,1694,3.25,45,,390.33,21982218
2020/03,090850,이지웰 *,208,상업서비스와공급품,259,55,55,53,39,40,-1,1445,1032,413,413,0,56,309,-118,-11,9,299,40,21.28,15.20,15.75,4.37,249.97,802.81,180,17.67,1896,2.59,0,,0.00,22342254
